"","A-1155463","A-1210477","A-1331852","Afatinib","Alectinib","AMG-232","APR-246","Axitinib","Bortezomib","Busulfan","Cabozantinib","Ceritinib","Chloroquine","Cisplatin","Cobimetinib","Crizotinib","Cytarabine","Dabrafenib","Dactinomycin","Dasatinib","Daunorubicin","Decitabine","Doxorubicin","Entinostat","Entrectinib","Erlotinib","Etoposide","Everolimus","Foretinib","Gemcitabine","I-BET151","Idasanutlin","Imatinib","Irinotecan","Lapatinib","Larotrectinib","Lorlatinib","Melphalan","Mercaptopurine","Merestinib","Methotrexate","Mitoxantrone","Navitoclax","Nilotinib","Olaparib","Paclitaxel","Palbociclib","Panobinostat","Pazopanib","Ponatinib","Rapamycin (Sirolimus)","Ribociclib","Ruxolitinib","Selinexor","Selitrectinib","Selumetinib","Sorafenib","Staurosporine_drug","Sunitinib","Talazoparib","Tazemetostat","Temozolomide","Temsirolimus","Thioguanine","Thiotepa","Topotecan","Trametinib","Valproic acid","Vandetanib","Vemurafenib","Venetoclax","Vinblastine","Vincristine","Vinorelbine","Vismodegib","Volasertib","Vorinostat"
"INF_R_2233_4M1_V1_DS1",10.253265322,6.933954863,4.160678795,0,0,25.835751688,-0.139456867,1.633845765,-0.0635465159999988,0,-1.435938261,2.66397116,2.487357675,11.407682011,-9.520425073,2.518934847,4.668716429,3.356918177,13.074732567,-6.788139745,1.987796291,-0.013663144,5.31496913,-6.828523915,0.295522375,-0.726044758,0.530835277,-0.551733413,-3.553755461,6.030826917,5.261482514,20.720087171,-0.645404907,1.669929114,-0.002368535,-0.10843724,0.385353672,-0.186096797,0,-3.313880906,-0.368805247,1.611694715,21.722747353,-0.00993005,-1.506512469,-2.012338843,-0.15360273,-7.92273219,-1.208063522,-0.501971649000001,-1.141712048,-0.54741896,1.368118486,13.30535495,0,-7.004677547,-0.275708523,17.152877064,-1.554988045,1.888725696,1.106118205,0,1.563003571,0.274546638,-0.078678951,10.446470494,-13.819010636,0,-0.058531224,0.80778061,0.898773575,-4.381685256,-4.846437831,-9.72568794,0,-0.629521065,-8.910072784
"INF_R_2274_3M2_V1_DS1",9.427938297,0.425555733000001,1.172498665,0,0,6.734316298,-0.139456867,-1.77167535,3.712918284,0,-1.898490116,3.720226785,-2.64427375,4.953632826,-4.571642653,1.953964212,10.941414594,0.884389587,12.747053762,-4.500921785,0.763619611,-0.005190879,-0.105887185,-1.14710174,0.78104288,3.621704307,-1.462042118,6.577131402,-3.867149251,-0.493727618,-1.182200006,1.957172601,-0.645404907,-0.976950791,0.243100065,-0.10843724,-1.692419008,-0.186096797,0.00111352,-4.417434351,-0.254187867,-1.832365895,19.969870318,-0.007184655,-1.506512469,-1.969056933,-0.20038335,-7.082455645,-0.0364043519999999,0.299591255999999,6.416530667,-0.301492515,-0.757817509,12.55222052,0,-6.440162167,-0.275708523,13.727830724,-2.40494438,-0.553957144,-0.04645581,0,2.397337191,0.877524153,-0.078678951,5.064884959,-11.363522126,0,-0.058531224,0.002167815,1.33512654,-4.163401331,-3.896317986,-1.86441216,0.33101474,-0.629521065,-3.580994959
"INF_R_2188_1M1_V1_DS1",-5.894339743,2.709219633,-4.58912256,1.19328618,1.07839246,1.898102038,-0.138206267,-0.45005947,0.848405229000001,0,-1.898490116,-3.47163898,3.47876708,6.930948076,-8.370776873,-2.121454783,4.445021834,0.138064287,13.178829112,-6.03983917,-3.000307964,2.387393026,-0.17392404,-3.42796574,0.53028278,2.501255807,-0.812409728,2.941295987,-2.954247836,1.967153097,0.371424974,3.495368606,1.129102583,3.533924054,1.735901565,-0.10843724,-2.665638568,-0.186096797,0,-4.417434351,-0.368805247,-2.39774206,3.778122143,-0.00993005,-1.483198479,0.810645652,0.28483087,-12.503384565,0.316300628,-1.724520969,3.940904177,0.43311503,-0.757817509,2.277339345,0,-6.102088172,-0.275708523,6.597425874,-0.288378805,-0.123620709,-0.04645581,0,1.847049066,-1.490233957,-0.078678951,-1.951012281,-17.410989246,0,-0.058531224,0.89026026,0.30528757,-4.363835441,-4.572908756,-3.16744204,0,-0.506139365,-5.654853249
"INF_R_1192_1M1_V1_DS1",-2.378960803,9.398817738,-1.414443675,0,3.591434555,14.691580878,11.212635143,0.75750157,8.818808249,0,4.649471194,6.9640498,6.721746585,1.434693571,-2.825754148,1.799594547,14.567441659,1.147049012,14.321180397,-7.235646295,-2.880810449,-0.013663144,1.858646505,-3.76323701,0.63653546,-0.930977133,-1.485248553,-3.333121848,-0.988901926,5.241886902,7.336295504,14.916027541,-0.185704932,-1.024564996,-0.002368535,3.676602485,1.931890027,4.086209533,0,-4.417434351,-0.368805247,2.503973345,9.170311453,0.01913038,6.551985306,-2.012338843,5.346151975,-5.854479175,1.651559048,4.715463541,0.871433117,-0.111340005,-0.757817509,17.1827274,NA,1.000216368,-0.275708523,8.042454249,-0.47578856,2.836571526,-0.04645581,0,9.575062481,3.533432168,-0.078678951,11.956194939,-2.545303521,1.217724765,-0.058531224,4.861299395,0.25089815,-3.177019406,5.983452224,1.46334789,0.60768062,5.951728275,4.089130216
"INF_R_1239_9T1_V1_DS1",-6.812373428,-1.639527337,-0.27738395,2.369915915,0,-1.496219662,0.027292623,7.33526065,12.453145139,0,-0.495151451,6.9460256,2.391060295,-1.775853814,-3.794171988,3.851056697,16.498815524,9.895643037,24.905107532,-1.537765125,5.331527141,5.085328621,7.102337715,0.437412539999999,5.66688217,9.916657977,13.229069402,-2.673050223,1.933347649,21.059610122,9.100285839,4.521180876,3.278642163,13.707209809,1.73850879,-0.10843724,0.0682153220000004,-0.178007027,5.46319049,-4.378092271,-0.368805247,6.87586478,8.159354038,0.15474658,2.147198886,31.964749647,4.81625142,-9.58089223,6.824997848,10.887238741,-3.153142363,-0.26290519,-0.127961124,20.18975004,NA,-2.332976657,2.984400427,14.240333494,0.921410705,13.411908436,-0.04645581,0.08207733,-4.198409404,-0.019592077,0.110154774,15.719508794,-14.331420126,0,-0.058531224,8.19293548,0.19151101,9.314041329,21.343891819,27.491078445,0.65963013,11.831849745,1.530102726
"INF_R_1506_1M1_V1_DS1",11.390998952,6.817308983,2.275959985,0,3.378143815,28.022605228,6.667157933,-1.77167535,1.167266754,0,-1.898490116,8.53735286,7.701147685,-0.451507734,2.015965907,-2.601645398,2.013522204,0.079542417,0.834746442000002,-7.235646295,3.907439216,-0.013663144,-2.96017695,-2.87772777,2.579514045,0.277202602,5.797092232,-3.592694138,-3.786908531,-1.825790593,-1.206666936,20.085792846,-0.645404907,-1.373717641,-0.002368535,-0.10843724,2.892457122,-0.186096797,0,-4.417434351,-0.368805247,12.595945595,36.358134588,0.45109007,-1.506512469,-2.012338843,3.503962945,-2.71812647,-1.603858587,-4.152327554,-5.261265333,-0.54741896,-0.757817509,8.237976945,0,-1.717319737,-0.275708523,8.518950209,-2.40494438,-0.535742674,1.67154091,0,-4.367284669,0.630995948,-0.078678951,-0.831766616,-2.391755066,0,-0.058531224,0,23.61000963,-0.110849536,-3.541163846,5.051030485,0.36564483,-0.629521065,-0.283129959
"INF_R_1791_1T1_V1_DS1",-0.834590783,7.894918878,-3.68202172,0,0,0.159932313,-0.139456867,-0.912960225,4.003090324,0,-1.898490116,0.152099625,-2.364641315,-2.341399029,-9.568239753,-0.0910424929999998,0.414983944,-0.055326488,13.190385237,-4.429387525,-3.481851814,0.029723816,0.233313375,2.33472983,-0.204888225,0.973801142,1.928721972,0.145703572,-3.979407241,8.079947202,2.766295049,-1.973985349,1.204173388,6.161813354,-0.002368535,-0.10843724,-2.646327018,-0.186096797,0,-4.417434351,-0.368805247,3.283023145,10.756912173,-0.00993005,-1.239483709,6.778726222,-0.43006096,-7.19430663,0.674765538,-3.329348499,-2.292322658,-0.47348297,-0.757817509,12.143695775,0.002666085,-6.931058152,-0.275708523,10.904837614,-2.40494438,-0.542758309,-0.04645581,0,-4.141800254,1.561837148,-0.078678951,11.287562409,-17.077902451,0,-0.058531224,0.060460165,1.16135522,-3.656530551,1.129124039,-1.080785575,0.059733775,1.531508435,-0.978853069000001
"INF_R_1887_1T1_V1_DS1",13.882830642,5.076653863,-2.050472615,0,0,13.898614443,-0.139456867,2.410996735,3.957339129,0,-1.898490116,8.45136901,-1.46586293,-5.004114294,-1.945194038,-0.660559527999999,-0.632388326,-0.026244313,13.316784107,-7.22157422,1.425997311,-0.013663144,3.757046885,-1.63142095,1.322342045,-0.734040253,0.399671297,0.401275492,-3.652771151,3.483660912,0.368693484,11.014606796,-0.645404907,-1.373717641,0.35929106,-0.10843724,-1.479696588,-0.186096797,0.03001392,-4.417434351,-0.368805247,2.340957255,21.961149958,-0.00993005,-0.794744194,10.778903277,2.151358935,-11.037889515,-1.603858587,-3.688637849,-2.342141458,1.57558997,-0.725463044,15.254990925,0,-0.155855332,-0.275708523,32.251258674,-1.249506095,0.0945099559999999,-0.04645581,0,-4.367284669,-0.926870722,-0.078678951,7.428989799,2.622176339,0,-0.058531224,1.762962575,0,-1.287956766,0.814254359,-9.72568794,0,3.90344365,-7.480907654
"INF_R_1422_2T1_V1_DS1",-1.996413528,-0.447514421999999,-2.2200578,0,0,-0.163657572,-0.139456867,-1.77167535,-16.924588721,0,-1.898490116,0.636745545,-2.65699176,-5.110999394,-9.568239753,-4.655405873,-3.526573236,-0.055326488,-2.611794428,-7.235646295,-5.511287999,-0.013663144,-0.44188762,-10.48528549,-0.27195752,-0.709917603,-1.513581533,-3.592694138,-4.030332016,-1.825790593,-0.936229831,-1.973985349,-0.645404907,-1.373717641,-0.002368535,-0.10843724,-2.610547488,-0.186096797,0,-4.417434351,-0.368805247,-3.914926015,9.444147273,-0.00993005,-1.506512469,-2.012338843,-0.43006096,-16.695752725,-1.603858587,-4.990171484,-5.261265333,-0.54741896,-0.757817509,-7.95854269,0,-7.004677547,-0.034248933,-7.049293906,-0.8896041,-0.553957144,-0.04645581,0,-4.367284669,-1.123381077,-0.078678951,-5.799934941,-19.254798531,0,-0.058531224,0.006053445,0,-4.381685256,-4.748438191,-9.72568794,0,-0.629521065,-9.511940499
"INF_R_1025_0T1_V2_DS1",-7.708342778,6.142169648,-4.261423645,0,0,0.979812463,-0.139456867,2.003604025,-14.815628761,0,4.111025829,2.540151405,-2.801048815,-4.898104179,-2.014789243,2.309288152,-2.407858996,-0.055326488,-6.342141883,-3.095529925,-7.630812199,0.166764821,-2.96017695,-10.298653215,-0.27195752,-1.025565888,-1.513581533,-2.383036363,5.054071089,-0.790435103,1.516916279,-1.973985349,-0.584073232,-0.372173621,0.5582184,-0.10843724,-1.901218393,-0.186096797,0,2.174078844,-0.00458241199999998,-1.3892886,-0.333683717,-0.002201325,-0.127264489,-1.989078928,-0.43006096,-10.21288961,4.666670533,1.317072061,-3.080285188,-0.54741896,-0.757817509,-7.95854269,NA,-7.004677547,-0.275708523,-7.419241991,4.97159495,-0.553957144,-0.04645581,0,-4.367284669,-1.812818752,-0.078678951,-5.304242496,-11.426243676,0,-0.058531224,0.00147848,0,-1.444447596,-4.846437831,-5.292319205,0,-0.0865624149999999,0.142562885999999
